ID,PRDS1,PRDS2,PRDS3,PRDS4,PRDS5,DASS1,DASS2,DASS3,DASS4,DASS5,DASS6,DASS7,DASS8,DASS9,DASS10,DASS11,DASS12,DASS13,DASS14,DASS15,DASS16,DASS17,DASS18,DASS19,DASS20,DASS21,SCS1_PC,SCS2_PC,SCS3_PM,SCS4_PC,SCS5_PM,SCS6_PM,SCS7_PC,SCS8_PM,SCS9_PC,SCS10_PC,SCS11_PC,SCS12_PC,BPAQ1,BPAQ2,BPAQ3,BPAQ4,BPAQ5,BPAQ6,BPAQ7,BPAQ8,BPAQ9,BPAQ10,BPAQ11,BPAQ12,Income,Gender,Age,PC,PM,DASS,PRDS,BPAQ
46,1,2,1,1,1,4,3,2,1,2,2,1,3,4,1,4,4,3,3,2,1,4,3,1,2,1,1,2,6,2,6,7,5,6,3,2,6,3,1,1,1,1,1,1,1,1,1,2,3,3,18,2,41,3,6.25,2.428571429,1.2,1.416666667
47,2,3,1,3,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,5,2,6,6,4,5,3,2,2,3,1,1,1,2,1,1,1,1,1,1,2,2,6,2,36,2.625,5.5,1.285714286,2.2,1.25
48,4,5,2,5,4,4,2,2,4,3,3,3,3,3,2,4,3,3,3,3,2,2,3,3,3,2,5,6,5,3,5,5,6,6,6,3,4,3,4,1,1,5,4,4,2,4,5,2,2,2,4,2,24,4.5,5.25,2.857142857,4,3
49,1,5,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,7,2,5,7,5,6,4,5,5,2,1,1,1,2,1,1,2,1,1,1,3,1,12,2,54,3.875,6.25,1.047619048,2.2,1.333333333
50,2,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,6,1,6,6,5,6,3,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,7,2,32,3,6,1.047619048,2,1
51,2,3,2,3,4,1,1,1,1,3,2,1,1,1,1,2,1,2,3,3,2,3,2,1,1,1,2,2,2,3,3,2,3,3,4,3,2,3,1,1,1,2,1,2,4,3,1,1,2,2,16,1,56,2.75,2.5,1.619047619,2.8,1.75
52,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,7,6,2,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,12,1,32,1.375,6,1.047619048,1.6,1
53,2,3,4,3,3,3,3,2,1,2,2,1,3,2,2,2,3,2,2,1,2,1,3,2,1,1,2,2,5,1,7,5,5,5,2,2,3,2,2,2,1,2,2,1,1,1,1,2,2,3,7,2,57,2.375,5.5,1.952380952,3,1.666666667
54,3,2,4,3,2,3,1,1,1,2,1,1,1,2,1,1,3,1,2,2,1,1,1,1,2,1,5,4,4,3,5,5,5,5,6,2,5,4,1,1,1,3,2,3,2,2,1,3,2,4,18,3,34,4.25,4.75,1.428571429,2.8,2.083333333
55,3,3,4,3,4,2,3,2,2,3,3,2,2,4,2,2,3,2,2,3,2,2,2,2,3,2,5,5,5,3,5,3,5,2,3,5,5,3,1,1,2,3,2,2,2,3,1,4,4,2,13,2,55,4.25,3.75,2.380952381,3.4,2.25
